user_id,handle,name,followers_count,following_count,tweet_count,is_root,is_candidate,discovered_via
781930918739083264,iliketeslas,i like teslas,18802,222,91241,False,True,followed_by_root
22831059,SenLummis,Senator Cynthia Lummis,379290,840,6270,False,False,followed_by_root
1060370282,SenMullin,Markwayne Mullin,317186,1033,9511,False,False,followed_by_root
1878717459148230656,davidsacks47,David Sacks,272525,77,154,False,False,followed_by_root
42519612,FloydMayweather,Floyd Mayweather,6858388,490,7863,False,False,followed_by_root
101852818,Eric_Schmitt,Eric Schmitt,246175,2894,19855,False,False,followed_by_root
15647676,DHSgov,Homeland Security,2830243,208,31714,False,False,followed_by_root
1271472849803501570,grossmanhannah,Hannah Grossman,11790,1818,1210,False,True,followed_by_root
170759111,LeVeonBell,Le'Veon Bell,1716916,33,33688,False,False,followed_by_root
1553043003496960000,doganuraldesign,Dogan Ural,108106,630,18571,False,False,followed_by_root
1889061805458079744,USAEdMartin,U.S. Attorney Ed Martin,94459,26,398,False,False,followed_by_root
16906660,Grummz,Grummz,282395,4227,27611,False,False,followed_by_root
107,pud,Philip Kaplan,41031,1357,102,False,True,followed_by_root
1162901370,KrahMax,Dr. Maximilian Krah MdB,93229,976,43053,False,False,followed_by_root
1016908862136332288,FischerKing64,FischerKing,243560,490,41625,False,False,followed_by_root
232901331,dbongino,Dan Bongino,7245389,2352,50652,False,False,followed_by_root
624632838,antmiddleton,Ant Middleton,521270,1732,14585,False,False,followed_by_root
784830007,victormustar,Victor M,21297,1973,6583,False,True,followed_by_root
1873569596289994752,DeaconJohnStoll,Deacon John Stoll,12525,898,3236,False,True,followed_by_root
1889069367394193408,SBA_Kelly,Kelly Loeffler,116048,56,764,False,False,followed_by_root
423216326,ebbyamir,Ebby Amir,16933,835,427,False,True,followed_by_root
70174349,JeremyDBoreing,Jeremy Boreing,468260,730,22677,False,False,followed_by_root
1722634861989507073,MarekEstok_SK,Marek Eštok,2271,199,570,False,True,followed_by_root
1892594777075417088,FBIDirectorKash,FBI Director Kash Patel,1953213,200,1562,False,False,followed_by_root
260788584,Santi_ABASCAL,Santiago Abascal 🇪🇸,952221,4432,46679,False,False,followed_by_root
1892038693881270272,ChadMizelle47,Chad Mizelle,50722,57,255,False,False,followed_by_root
3165434588,BhandarkarPawan,Pawan Bhandarkar,6917,815,2084,False,True,followed_by_root
1886776365673803776,SecRollins,Secretary Brooke Rollins,187946,170,1685,False,False,followed_by_root
1389360201996832771,PapiTrumpo,il Donaldo Trumpo,1728177,21261,19603,False,False,followed_by_root
1659361256602730496,mrsrabbithole,Mrs. Rabbit Hole,7523,129,78,False,True,followed_by_root
16467567,reason,reason,292304,378,130673,False,False,followed_by_root
1881447582213550080,Scavino47,Dan Scavino,381187,176,1176,False,False,followed_by_root
16876198,jnnfir,Heather ‘Jenn Fir’ Jones 🌲,10258,7438,38574,False,True,followed_by_root
1828995458343026689,kaitrump,Kai Trump,916219,9,61,False,False,followed_by_root
1372583311638470663,EvelinaHahne,Evelina Hahne,101924,553,3299,False,False,followed_by_root
548078410,LevineJonathan,Jon Levine,84157,1768,48896,False,False,followed_by_root
792096589191852033,themarketswork,Jeff Carlson,256907,1593,88792,False,False,followed_by_root
620571475,DanScavino,Dan Scavino Jr.🇺🇸🦅,2216466,1012,15301,False,False,followed_by_root
1891343058710507520,DOGE_SEC,DOGE SEC,193959,1,1,False,False,followed_by_root
6535212,eladgil,Elad Gil,225956,1771,1957,False,False,followed_by_root
615818451,alexandr_wang,Alexandr Wang,345420,839,2134,False,False,followed_by_root
105705196,adampbry,Adam Bry,6569,569,485,False,True,followed_by_root
2885786046,SkydioHQ,Skydio,23776,536,4913,False,True,followed_by_root
1525539342785159170,TodaysNewsco,Today’s News,154226,7339,1282,False,False,followed_by_root
1879960935126708224,USGSAStephenE,Stephen Ehikian,4232,21,95,False,True,followed_by_root
2417586104,SebGorka,Sebastian Gorka DrG,1842449,7100,156388,False,False,followed_by_root
2162812627,nicksortor,Nick Sortor,1306117,18750,45100,False,False,followed_by_root
1823608743822868480,ChiefAdviserGoB,Chief Adviser of the Government of Bangladesh,196310,0,1132,False,False,followed_by_root
1034954029896355840,palladiummag,PALLADIUM Magazine,36182,99,5982,False,True,followed_by_root
8775672,USArmy,U.S. Army,2136563,141,47217,False,False,followed_by_root
613926689,CJHandmer,Casey Handmer,59636,4554,39212,False,False,followed_by_root
44783853,HHSGov,HHS,1642446,32,34885,False,False,followed_by_root
1298624375692894210,SenRandPaul,Senator Rand Paul,311865,440,3643,False,False,followed_by_root
1886875846473879552,SecKennedy,Secretary Kennedy,1154596,2,871,False,False,followed_by_root
17955081,TheoVon,Theo Von,1664638,20449,11843,False,False,followed_by_root
